date,INTL_MSCIJP
2017-12-01,7337.042
2017-12-08,7310.586
2017-12-15,7318.87
2017-12-22,7422.391
2017-12-29,7423.497
2018-01-05,7659.721
2018-01-12,7779.013
2018-01-19,7902.664
2018-01-26,7992.254
2018-02-02,7786.128
2018-02-09,7374.683
2018-02-16,7584.351
2018-02-23,7615.906
2018-03-02,7466.275
2018-03-09,7393.826
2018-03-16,7545.562
2018-03-23,7322.408
2018-03-30,7496.345
2018-04-06,7443.169
2018-04-13,7474.332
2018-04-20,7552.27
2018-04-27,7569.905
2018-05-04,7543.357
2018-05-11,7622.888
2018-05-18,7622.111
2018-05-25,7527.006
2018-06-01,7415.078
2018-06-08,7574.014
2018-06-15,7532.588
2018-06-22,7391.149
2018-06-29,7286.203
2018-07-06,7166.356
2018-07-13,7213.211
2018-07-20,7309.496
2018-07-27,7469.011
2018-08-03,7332.321
2018-08-10,7267.164
2018-08-17,7209.566
2018-08-24,7207.865
2018-08-31,7331.991
2018-09-07,7106.294
2018-09-14,7243.653
2018-09-21,7521.483
2018-09-28,7564.143
2018-10-05,7461.256
2018-10-12,7187.55
2018-10-19,7129.85
2018-10-26,6800.893
2018-11-02,6959.839
2018-11-09,6966.872
2018-11-16,6854.5
2018-11-23,6850.135
2018-11-30,6952.557
2018-12-07,6821.86
2018-12-14,6670.226
2018-12-21,6395.091
2018-12-28,6448.398
2019-01-04,6480.193
2019-01-11,6747.884
2019-01-18,6782.433
2019-01-25,6824.28
2019-02-01,6838.966
2019-02-08,6693.255
2019-02-15,6805.212
2019-02-22,6934.602
2019-03-01,6882.516
2019-03-08,6752.44
2019-03-15,6860.546
2019-03-22,7030.76
2019-03-29,6934.226
2019-04-05,7020.637
2019-04-12,6927.521
2019-04-19,6991.961
2019-04-26,7019.134
2019-05-03,7038.694
2019-05-10,6852.48
2019-05-17,6850.96
2019-05-24,6831.732
2019-05-31,6752.487
2019-06-07,6872.797
2019-06-14,6914.278
2019-06-21,6970.66
2019-06-28,7006.853
2019-07-05,7126.648
2019-07-12,7094.701
2019-07-19,7063.905
2019-07-26,7040.931
2019-08-02,7018.76
2019-08-09,6939.255
2019-08-16,6809.667
2019-08-23,6915.087
2019-08-30,6946.023
2019-09-06,7039.256
2019-09-13,7283.368
2019-09-20,7313.267
2019-09-27,7307.825
2019-10-04,7245.602
2019-10-11,7234.54
2019-10-18,7366.006
2019-10-25,7472.85
